Codigo_Fornecedor,Nome_Original,Nome_Comercial,Categoria,Subcategoria,Qtd_Estoque,Custo_Unitario,Multiplicador,Preco_Venda,Lucro_Unitario,Margem,Descricao_Simples,Descricao_Completa,Tags,Diferenciais
5414,Mini Orelhas do Coelho - Boyce - Pretty Love,Coelhinho Estimulador Duplo - Edição Luxo,Vibradores,Estimuladores Clitorianos,3,"R$ 12,00","3,0x","R$ 36,00","R$ 24,00","66,7%","Mini vibrador em formato de orelhinhas de coelho com dupla estimulação. Silicone macio, 10 modos de vibração e design ergonômico.","Descubra o prazer duplo com nosso estimulador em formato de orelhinhas de coelho. Feito em silicone premium hipoalergênico, oferece 10 modos de vibração intensos para uma estimulação precisa e prazerosa. Design ergonômico que se adapta perfeitamente ao corpo feminino, ideal para uso solo ou a dois. À prova d'água para momentos de prazer no banho. Recarregável via USB com autonomia de até 90 minutos. Tamanho compacto e discreto para levar na bolsa. Cor: Rosa vibrante.","coelhinho, vibrador, estimulador, clitóris, silicone, recarregável, discreto",10 modos de vibração | Silicone premium | À prova d'água | USB recarregável
6791-RS,Vibrador de Ponto G Multi-Velocidade - Maig - Rosa,Explorador G - Vibrador Curvado Multi-Velocidade (Rosa),Vibradores,Ponto G,1,"R$ 23,38","3,0x","R$ 70,14","R$ 46,76","66,7%",Vibrador curvado especialmente projetado para estimular o ponto G com precisão. Múltiplas velocidades de vibração.,"O Explorador G foi desenvolvido para quem busca descobrir novas sensações. Sua curvatura precisa atinge o ponto G com facilidade, enquanto as múltiplas velocidades de vibração permitem personalizar cada momento. Corpo em silicone macio de alta qualidade, textura suave ao toque e acabamento impecável. Controle intuitivo de velocidades para ir do sussurro ao intenso. Funciona com pilhas (incluídas na primeira compra). Tamanho ideal para iniciantes e experientes. Cor: Rosa elegante.","ponto g, vibrador, curvado, multi-velocidade, silicone, feminino, prazer",Curvatura precisa | Multi-velocidade | Silicone macio | Ideal para iniciantes
6791-RX,Vibrador de Ponto G Multi-Velocidade - Maig - Roxo,Explorador G - Vibrador Curvado Multi-Velocidade (Roxo),Vibradores,Ponto G,1,"R$ 23,38","3,0x","R$ 70,14","R$ 46,76","66,7%",Vibrador curvado especialmente projetado para estimular o ponto G com precisão. Múltiplas velocidades de vibração.,"O Explorador G foi desenvolvido para quem busca descobrir novas sensações. Sua curvatura precisa atinge o ponto G com facilidade, enquanto as múltiplas velocidades de vibração permitem personalizar cada momento. Corpo em silicone macio de alta qualidade, textura suave ao toque e acabamento impecável. Controle intuitivo de velocidades para ir do sussurro ao intenso. Funciona com pilhas (incluídas na primeira compra). Tamanho ideal para iniciantes e experientes. Cor: Roxo misterioso.","ponto g, vibrador, curvado, multi-velocidade, silicone, feminino, prazer",Curvatura precisa | Multi-velocidade | Silicone macio | Ideal para iniciantes
5367-LL,Vibrador Jelly Duplo Motor - 15cm - Pink,Duo Power - Vibrador Jelly Duplo Motor,Vibradores,Dupla Estimulação,1,"R$ 21,60","3,5x","R$ 75,60","R$ 54,00","71,4%",Vibrador jelly com dois motores independentes para estimulação interna e externa simultânea. Textura suave e flexível.,"O Duo Power revoluciona sua experiência com dois motores independentes que trabalham em harmonia. A haste curvada massageia internamente enquanto o prolongador externo cuida da estimulação clitoriana — tudo ao mesmo tempo. Material jelly premium, super flexível e macio ao toque, que se adapta aos contornos do corpo. 15cm de puro prazer com textura realista e veias delicadas. Múltiplas velocidades controladas por botão giratório. Funciona com pilhas. Cor: Pink sedutor.","duplo motor, vibrador, jelly, estimulação dupla, clitóris, interno, feminino",Dois motores independentes | Jelly premium flexível | Estimulação dupla simultânea | 15cm
8250-RS,Vibrador de Pulsação - Billy - Rosa,Pulse Touch - Vibrador de Pulsação Inteligente (Rosa),Vibradores,Pulsação,1,"R$ 25,00","3,5x","R$ 87,50","R$ 62,50","71,4%",Vibrador de pulsação com tecnologia de ondas de prazer. Estimulação profunda e diferenciada do clitóris e ponto G.,"O Pulse Touch traz uma tecnologia revolucionária: ondas de pulsação que penetram mais profundamente que a vibração tradicional. Ideal para quem busca uma experiência completamente nova. O motor de pulsação simula a sucção e a pressão de forma única, criando sensações intensas e inesquecíveis. Design moderno com cabo ergonômico para fácil manuseio. Silicone médico hipoalergênico, seguro para o corpo. À prova d'água para uso no chuveiro. Múltiplos modos de pulsação. Cor: Rosa delicado.","pulsação, vibrador, tecnologia, ondas, clitóris, ponto g, inovador",Tecnologia de pulsação | Ondas profundas | Silicone médico | À prova d'água
8250-RX,Vibrador de Pulsação - Billy - Roxo,Pulse Touch - Vibrador de Pulsação Inteligente (Roxo),Vibradores,Pulsação,1,"R$ 25,00","3,5x","R$ 87,50","R$ 62,50","71,4%",Vibrador de pulsação com tecnologia de ondas de prazer. Estimulação profunda e diferenciada do clitóris e ponto G.,"O Pulse Touch traz uma tecnologia revolucionária: ondas de pulsação que penetram mais profundamente que a vibração tradicional. Ideal para quem busca uma experiência completamente nova. O motor de pulsação simula a sucção e a pressão de forma única, criando sensações intensas e inesquecíveis. Design moderno com cabo ergonômico para fácil manuseio. Silicone médico hipoalergênico, seguro para o corpo. À prova d'água para uso no chuveiro. Múltiplos modos de pulsação. Cor: Roxo profundo.","pulsação, vibrador, tecnologia, ondas, clitóris, ponto g, inovador",Tecnologia de pulsação | Ondas profundas | Silicone médico | À prova d'água
5208-PK,Vibrador Ponto G Duplo Motor - 17cm - Pretty Love - Pink,G-Spot Pro - Vibrador Duplo Motor 17cm,Vibradores,Ponto G Premium,1,"R$ 26,14","3,5x","R$ 91,49","R$ 65,35","71,4%","Vibrador premium com dois motores independentes, 17cm de comprimento, curvatura perfeita para o ponto G e estimulador clitoriano.","O G-Spot Pro é a escolha definitiva para quem não abre mão da qualidade. Com dois motores independentes e 17cm de puro poder, oferece estimulação dupla simultânea: a haste curvada massageia o ponto G com precisão cirúrgica enquanto o estimulador externo cuida do clitóris. 12 modos de vibração combináveis entre os dois motores. Silicone premium de grau médico, totalmente hipoalergênico e livre de ftalatos. Acabamento impecável com textura veludada. Recarregável via USB com indicador LED de bateria. Embalagem premium ideal para presente. Cor: Pink sofisticado.","ponto g, premium, duplo motor, 17cm, silicone médico, recarregável, presente",Dois motores independentes | 12 modos combináveis | 17cm | Silicone médico | USB recarregável
9262-RS,Bullet Baleia - Whale - APP - Rosa,Whale Connect - Bullet Inteligente c/ App (Rosa),Vibradores,App/Bluetooth,3,"R$ 27,00","3,0x","R$ 81,00","R$ 54,00","66,7%",Bullet vibratório em formato de baleia controlado por aplicativo. Ideal para brincadeiras à distância com o parceiro.,A tecnologia encontra o prazer no Whale Connect. Este bullet em formato de baleia é controlado totalmente pelo seu smartphone via aplicativo gratuito. Perfeito para relacionamentos à distância: seu parceiro pode controlar as vibrações de qualquer lugar do mundo. 10 modos de vibração pré-programados + possibilidade de criar padrões personalizados. Conexão Bluetooth estável e alcance de até 10 metros. Silicone macio e flexível com design anatômico. À prova d'água para diversão no banho. Bateria de longa duração com recarga USB magnética. Cor: Rosa romântico.,"app, bluetooth, bullet, controle remoto, à distância, casal, tecnologia",Controle via APP | Relacionamento à distância | 10 modos + personalizados | Bluetooth 10m
9262-RX,Bullet Baleia - Whale - APP - Roxo,Whale Connect - Bullet Inteligente c/ App (Roxo),Vibradores,App/Bluetooth,3,"R$ 27,00","3,0x","R$ 81,00","R$ 54,00","66,7%",Bullet vibratório em formato de baleia controlado por aplicativo. Ideal para brincadeiras à distância com o parceiro.,A tecnologia encontra o prazer no Whale Connect. Este bullet em formato de baleia é controlado totalmente pelo seu smartphone via aplicativo gratuito. Perfeito para relacionamentos à distância: seu parceiro pode controlar as vibrações de qualquer lugar do mundo. 10 modos de vibração pré-programados + possibilidade de criar padrões personalizados. Conexão Bluetooth estável e alcance de até 10 metros. Silicone macio e flexível com design anatômico. À prova d'água para diversão no banho. Bateria de longa duração com recarga USB magnética. Cor: Roxo tecnológico.,"app, bluetooth, bullet, controle remoto, à distância, casal, tecnologia",Controle via APP | Relacionamento à distância | 10 modos + personalizados | Bluetooth 10m
8430-RS,Vibrador Ponto G e Clitóris c/ Aquecimento - Rosa,Heat Pleasure - Vibrador c/ Aquecimento 42°C (Rosa),Vibradores,Aquecimento,1,"R$ 61,09","3,8x","R$ 232,14","R$ 171,05","73,7%","Vibrador 3 em 1: estimula o ponto G, o clitóris e aquece até 42°C. A sensação de calor intensifica o prazer naturalmente.","O Heat Pleasure é o ápice da inovação em prazer feminino. Este vibrador 3 em 1 combina estimulação do ponto G, massagem clitoriana e aquecimento inteligente até 42°C — a temperatura ideal para aumentar a circulação sanguínea e intensificar as sensações. O calor natural relaxa os músculos e prepara o corpo para um orgasmo mais intenso. Dois motores independentes com 8 modos de vibração cada. Silicone de grau médico, ultra macio e seguro. Aquecimento rápido em 2 minutos. Recarregável via USB com até 120 minutos de autonomia. Display LED intuitivo. Cor: Rosa quente.","aquecimento, 42 graus, ponto g, clitóris, 3 em 1, premium, inovador",Aquecimento 42°C | 3 em 1 (Ponto G + Clitóris + Calor) | 8 modos duplos | Silicone médico
